cause,label,ICD9,ICD10_target,development_events20,test_events15,selected
ihd,Ишемическая болезнь сердца,410-414,I20-I25,173,76,True
heart_failure,Сердечная недостаточность / кардиомиопатии,"425,428","I42,I50",14,6,True
stroke,Цереброваскулярные заболевания,430-438,I60-I69,48,24,True
hypertension,Гипертензивные болезни,401-405,I10-I15,25,3,True
atrial_fibrillation,Фибрилляция / трепетание предсердий,4273,I48,1,0,False
aortic_aneurysm,Аневризма / диссекция аорты,441,I71,6,3,True
chronic_respiratory,Хронические болезни нижних дыхательных путей,490-496,J40-J47,15,7,True
dementia,Деменция / болезнь Альцгеймера,"290,3310,3312","F01,F03,G30",3,2,True
parkinson,Болезнь Паркинсона,332,G20,3,0,False
diabetes,Сахарный диабет,250,E10-E14,9,6,True
renal,Нефрит / нефроз / почечная недостаточность,580-589,"N00-N07,N17-N19,N25-N27",8,2,True
chronic_liver,Хроническая болезнь печени / цирроз,571,"K70,K73-K74",4,3,True
lung_cancer,"Рак трахеи, бронхов и лёгкого",162,C33-C34,36,15,True
colorectal_cancer,Колоректальный рак,153-154,C18-C21,22,9,True
pancreatic_cancer,Рак поджелудочной железы,157,C25,10,5,True
breast_cancer,Рак молочной железы,174-175,C50,9,3,True
prostate_cancer,Рак простаты,185,C61,9,4,True
liver_cancer,Рак печени / внутрипечёночных желчных протоков,155,C22,2,1,False
gastric_cancer,Рак желудка,151,C16,3,4,True
hematologic_cancer,Гематологические злокачественные опухоли,200-208,C81-C96,15,5,True
