panel_or_contrast,outcome,metric,horizon,lower,upper,valid_replicates,undefined_replicates,interpretation
clinical,multistate,brier,15,0.2526379808286827,0.34182007957265126,1000,0,conditional_fixed_models
clinical,all_cause,brier,15,0.10041380886633117,0.13872484438084012,1000,0,conditional_fixed_models
clinical,all_cause,auc,15,0.7873393990026074,0.8592174445012819,1000,0,conditional_fixed_models
clinical,all_cause,mean_bias_pp,15,-3.128059260711756,2.987969113395793,1000,0,conditional_fixed_models
clinical,ihd,brier,15,0.037451911511972975,0.062165100589733124,1000,0,conditional_fixed_models
clinical,ihd,auc,15,0.7413139300576977,0.8823229508309783,1000,0,conditional_fixed_models
clinical,ihd,mean_bias_pp,15,-1.4003625203754277,1.2271609907480276,1000,0,conditional_fixed_models
clinical,heart_failure,brier,15,0.000748171124879591,0.00669561181881768,1000,0,conditional_fixed_models
clinical,heart_failure,auc,15,0.5091568444885407,0.8697422522877866,1000,0,conditional_fixed_models
clinical,heart_failure,mean_bias_pp,15,-0.275002883684943,0.35154156404870573,1000,0,conditional_fixed_models
clinical,stroke,brier,15,0.0039522049617362765,0.015023689658521758,1000,0,conditional_fixed_models
clinical,stroke,auc,15,0.7528834646409177,0.9267337422512842,1000,0,conditional_fixed_models
clinical,stroke,mean_bias_pp,15,-0.20573661273444785,1.0676238155370288,1000,0,conditional_fixed_models
clinical,hypertension,brier,15,6.301832560822272e-05,0.0036708288792499247,1000,0,conditional_fixed_models
clinical,hypertension,auc,15,0.8137697095076991,0.9555085340368,883,117,defined_draws_only_not_nominal_95pct
clinical,hypertension,mean_bias_pp,15,0.19148201218205818,0.5756036336278129,1000,0,conditional_fixed_models
clinical,aortic_aneurysm,brier,15,4.418374983654112e-06,0.009869589458913733,1000,0,conditional_fixed_models
clinical,aortic_aneurysm,auc,15,0.7183264301742414,0.9602317607849858,877,123,defined_draws_only_not_nominal_95pct
clinical,aortic_aneurysm,mean_bias_pp,15,-0.8443699455774664,0.1516588062265515,1000,0,conditional_fixed_models
clinical,chronic_respiratory,brier,15,0.0009314591152116928,0.004584204845599448,1000,0,conditional_fixed_models
clinical,chronic_respiratory,auc,15,0.6402338716547036,0.9091089356527523,1000,0,conditional_fixed_models
clinical,chronic_respiratory,mean_bias_pp,15,0.06465637773518182,0.4586439178408859,1000,0,conditional_fixed_models
clinical,dementia,brier,15,1.6798751839762922e-06,0.005152738719308029,1000,0,conditional_fixed_models
clinical,dementia,auc,15,0.8144780396839875,0.9528672838579676,740,260,defined_draws_only_not_nominal_95pct
clinical,dementia,mean_bias_pp,15,-0.421246297766275,0.10135432651960194,1000,0,conditional_fixed_models
clinical,diabetes,brier,15,1.8098423905378344e-05,0.015906655641303995,1000,0,conditional_fixed_models
clinical,diabetes,auc,15,0.7621407732113876,0.9996882885596637,972,28,defined_draws_only_not_nominal_95pct
clinical,diabetes,mean_bias_pp,15,-1.3159642238749203,0.28398569359309506,1000,0,conditional_fixed_models
clinical,renal,brier,15,2.353203065036518e-06,0.001966826821872764,1000,0,conditional_fixed_models
clinical,renal,auc,15,0.8672277264467837,0.9703352732875228,796,204,defined_draws_only_not_nominal_95pct
clinical,renal,mean_bias_pp,15,-0.07844733889215291,0.12192718279572526,1000,0,conditional_fixed_models
clinical,chronic_liver,brier,15,6.262448539726175e-06,0.01286413117514572,1000,0,conditional_fixed_models
clinical,chronic_liver,auc,15,0.6240378509633165,0.9798624184920595,904,96,defined_draws_only_not_nominal_95pct
clinical,chronic_liver,mean_bias_pp,15,-1.1299710198593569,0.17235730738714095,1000,0,conditional_fixed_models
clinical,lung_cancer,brier,15,0.0029219615545611056,0.018598075609207176,1000,0,conditional_fixed_models
clinical,lung_cancer,auc,15,0.4443702967568898,0.7890753261634568,1000,0,conditional_fixed_models
clinical,lung_cancer,mean_bias_pp,15,-0.7567019710365374,0.907711917029107,1000,0,conditional_fixed_models
clinical,colorectal_cancer,brier,15,0.0017674002242224754,0.009279346853285686,1000,0,conditional_fixed_models
clinical,colorectal_cancer,auc,15,0.490873028015982,0.9682475438058481,999,1,defined_draws_only_not_nominal_95pct
