study,panel,horizon,n,outcome,brier,auc,observed,predicted,observed_expected,mean_bias_pp,events
secondary_hepatic_smoking,clinical,10,982,multistate,0.18445785542219895,,,,,,
secondary_hepatic_smoking,clinical,10,982,all_cause,0.08166203863280382,0.8063687450253849,0.1063711887473524,0.10681952139734652,0.9958028959114466,0.04483326499941237,159.0
secondary_hepatic_smoking,clinical,10,982,ihd,0.030080576678393735,0.7808774389106123,0.032118542650214556,0.030830139114603,1.0417903899434982,-0.12884035356115556,45.0
secondary_hepatic_smoking,clinical,10,982,heart_failure,0.0015147355962279586,0.7148968471768739,0.0015118188804612868,0.0021889446485592497,0.6906610824793387,0.06771257680979628,4.0
secondary_hepatic_smoking,clinical,10,982,stroke,0.005065943987868066,0.8214242198434792,0.005144016794480315,0.007914346041618376,0.6499610665783365,0.2770329247138061,14.0
secondary_hepatic_smoking,clinical,10,982,hypertension,3.907708586704019e-05,,0.0,0.004082095669868264,0.0,0.4082095669868264,0.0
secondary_hepatic_smoking,clinical,10,982,aortic_aneurysm,0.00236085105071904,0.8293050566653837,0.0023653206589690262,0.0005597753054898318,4.225482324375226,-0.18055453534791946,2.0
secondary_hepatic_smoking,clinical,10,982,chronic_respiratory,0.00039620878517445513,0.9633099675781972,0.0003967557721714786,0.001114144490919308,0.35610800520505703,0.07173887187478295,1.0
secondary_hepatic_smoking,clinical,10,982,dementia,0.0005456009469728033,0.8626184252646519,0.0005460171933532039,0.0005958980911041948,0.9162929056232384,0.004988089775099093,1.0
secondary_hepatic_smoking,clinical,10,982,diabetes,0.004191762033964401,0.9518275444760687,0.004233137771198135,0.0015876281468475827,2.6663282454418025,-0.26455096243505527,4.0
secondary_hepatic_smoking,clinical,10,982,renal,0.00017235425980823506,0.9704216041898149,0.00017220573881792438,0.0007252996792515062,0.23742701636878846,0.055309394043358176,1.0
secondary_hepatic_smoking,clinical,10,982,chronic_liver,0.0020563131964448484,0.897105121253683,0.0020628304390367365,0.0005537061379526851,3.7254967890802178,-0.15091243010840516,2.0
secondary_hepatic_smoking,clinical,10,982,lung_cancer,0.005587887153305156,0.5842979349905371,0.005559102580470418,0.007604971651207057,0.7309826828332858,0.20458690707366392,9.0
secondary_hepatic_smoking,clinical,10,982,colorectal_cancer,0.0031685094765766426,0.9437314200128877,0.003235780025023755,0.005122551877919039,0.631673451463071,0.1886771852895284,6.0
secondary_hepatic_smoking,clinical,10,982,pancreatic_cancer,0.002616199265108429,0.5649812419076542,0.0026145337231688174,0.0021040927850697537,1.2425943103465098,-0.05104409380990638,5.0
secondary_hepatic_smoking,clinical,10,982,breast_cancer,0.0016800256073835214,0.8267842846596216,0.001689471173446475,0.0015151843895819751,1.1150267816002142,-0.017428678386449986,2.0
secondary_hepatic_smoking,clinical,10,982,prostate_cancer,0.0006742364820994398,0.9380203557988249,0.000675274855651063,0.0015044150723521152,0.44886206477264795,0.08291402167010523,3.0
secondary_hepatic_smoking,clinical,10,982,gastric_cancer,0.0025230391519990023,0.7419309322274606,0.002530029130713591,0.0019214355231148385,1.316739021568708,-0.06085936075987525,4.0
secondary_hepatic_smoking,clinical,10,982,hematologic_cancer,0.005784554534145181,0.7785831395693003,0.00582883044133191,0.0030571748270859234,1.9066068416139317,-0.2771655614245987,5.0
secondary_hepatic_smoking,clinical,10,982,infection,0.0068711826317732995,0.9242695683574187,0.006966963439483457,0.002173865980156038,3.2048725648594836,-0.47930974593274195,6.0
secondary_hepatic_smoking,clinical,10,982,external,0.006322798046562279,0.4103494557164039,0.0063078298151354765,0.004753313190695983,1.3270385438692038,-0.15545166244394937,9.0
secondary_hepatic_smoking,clinical,10,982,other_or_unresolved,0.021143960819001623,0.8008007990643868,0.02241272766422479,0.026910538773949826,0.8328606072324704,0.44978111097250356,36.0
secondary_hepatic_smoking,laboratory,10,982,multistate,0.18283876662819037,,,,,,
secondary_hepatic_smoking,laboratory,10,982,all_cause,0.08040885413672372,0.8139256545453101,0.1063711887473524,0.10667478906743846,0.9971539637177614,0.030360032008606985,159.0
secondary_hepatic_smoking,laboratory,10,982,ihd,0.029680561189749308,0.8006508654118712,0.032118542650214556,0.031158268425410245,1.0308192423177531,-0.09602742248043111,45.0
secondary_hepatic_smoking,laboratory,10,982,heart_failure,0.0015157290685170676,0.7111670066636185,0.0015118188804612868,0.002185863896014369,0.6916344989355864,0.06740450155530824,4.0
secondary_hepatic_smoking,laboratory,10,982,stroke,0.005065965799822956,0.8088789330619749,0.005144016794480315,0.007939057013090174,0.6479380090102255,0.2795040218609859,14.0
secondary_hepatic_smoking,laboratory,10,982,hypertension,4.107402976713682e-05,,0.0,0.004111979150741593,0.0,0.41119791507415926,0.0
secondary_hepatic_smoking,laboratory,10,982,aortic_aneurysm,0.0023609089459701456,0.8295383151127566,0.0023653206589690262,0.0005561457803629556,4.253058716772704,-0.18091748786060705,2.0
secondary_hepatic_smoking,laboratory,10,982,chronic_respiratory,0.0003951215358070426,0.9872165250716501,0.0003967557721714786,0.001105708989151507,0.3588247686002254,0.07089532169800283,1.0
secondary_hepatic_smoking,laboratory,10,982,dementia,0.0005459763468202622,0.8091435709290761,0.0005460171933532039,0.0005934831676613541,0.9200213638826659,0.0047465974308150225,1.0
secondary_hepatic_smoking,laboratory,10,982,diabetes,0.004206559421798529,0.8684308018411645,0.004233137771198135,0.0015878641948722117,2.6659318755775647,-0.2645273576325924,4.0
secondary_hepatic_smoking,laboratory,10,982,renal,0.00017192835502672434,0.9966779245339835,0.00017220573881792438,0.0007244003591785015,0.23772177448008508,0.055219462036057716,1.0
secondary_hepatic_smoking,laboratory,10,982,chronic_liver,0.0020520820900169962,0.974658622922256,0.0020628304390367365,0.0005571178113198819,3.7026826231773717,-0.15057126277168545,2.0
secondary_hepatic_smoking,laboratory,10,982,lung_cancer,0.005603485720228562,0.6132686219331388,0.005559102580470418,0.007643352728921645,0.7273120550142029,0.2084250148451227,9.0
