study,subgroup,panel,horizon,n,outcome,brier,auc,observed,predicted,observed_expected,mean_bias_pp,events
secondary_hepatic_smoking,female,clinical,15,527,multistate,0.2552677772715559,,,,,,
secondary_hepatic_smoking,female,clinical,15,527,all_cause,0.10425193825191749,0.8377803303069852,0.15751774313463696,0.16044794056705056,0.981737394558897,0.29301974324136004,114.0
secondary_hepatic_smoking,female,clinical,15,527,ihd,0.029953642175987175,0.8335823288449359,0.03230394974807785,0.04277204984572045,0.7552583957186708,1.0468100097642603,25.0
secondary_hepatic_smoking,female,clinical,15,527,heart_failure,0.0017046257796773027,0.671014168324376,0.0016850543631340713,0.004551584694191532,0.3702126789565049,0.2866530331057461,2.0
secondary_hepatic_smoking,female,clinical,15,527,stroke,0.008952033208447802,0.8972386421857955,0.009247780274824568,0.018686772822225625,0.494883753487144,0.9438992547401057,12.0
secondary_hepatic_smoking,female,clinical,15,527,hypertension,0.002017188800285097,0.8951909822126322,0.0020230575082442258,0.0043435362667794694,0.4657627757634056,0.23204787585352438,2.0
secondary_hepatic_smoking,female,clinical,15,527,aortic_aneurysm,0.004418473229779691,0.900138627156687,0.0044341991132973956,0.0007251539593733096,6.114838174681561,-0.3709045153924086,1.0
secondary_hepatic_smoking,female,clinical,15,527,chronic_respiratory,0.0006341298941150135,0.8796663780686553,0.0006086724725672525,0.004768549640182206,0.1276431029339133,0.41598771676149543,2.0
secondary_hepatic_smoking,female,clinical,15,527,dementia,1.942888982950191e-06,,0.0,0.0009424322620158002,0.0,0.09424322620158002,0.0
secondary_hepatic_smoking,female,clinical,15,527,diabetes,0.007062127142716993,0.8537309056484551,0.007151422630542128,0.0031313990194906907,2.283778779398506,-0.4020023611051438,4.0
secondary_hepatic_smoking,female,clinical,15,527,renal,0.0012968599424529627,0.9093430493905437,0.0013021718796805304,0.0010721525358775073,1.2145397563367817,-0.02300193438030231,2.0
secondary_hepatic_smoking,female,clinical,15,527,chronic_liver,6.676470702923547e-07,,0.0,0.0005852217330856158,0.0,0.058522173308561576,0.0
secondary_hepatic_smoking,female,clinical,15,527,lung_cancer,0.0136193178320001,0.718112622064199,0.013772134145195122,0.004976682794539235,2.767332119360083,-0.8795451350655885,8.0
secondary_hepatic_smoking,female,clinical,15,527,colorectal_cancer,0.007688309228695196,0.9103602918610266,0.00791818233226773,0.007653488759495186,1.0345846947830368,-0.026469357277254368,7.0
secondary_hepatic_smoking,female,clinical,15,527,pancreatic_cancer,0.0030594669175339163,0.7011153218349676,0.003066374997786109,0.0014319575184861765,2.141386848562233,-0.16344174792999328,2.0
secondary_hepatic_smoking,female,clinical,15,527,breast_cancer,0.003587357911294452,0.7657477148827755,0.003608666477246984,0.005991109667292608,0.6023369087946852,0.2382443190045624,3.0
secondary_hepatic_smoking,female,clinical,15,527,prostate_cancer,0.0,,0.0,0.0,,0.0,0.0
secondary_hepatic_smoking,female,clinical,15,527,gastric_cancer,0.0020294191161322225,0.796535396308788,0.0020344456158399326,0.0009634604585657483,2.1116026067831597,-0.10709851572741844,2.0
secondary_hepatic_smoking,female,clinical,15,527,hematologic_cancer,0.007233942729040251,0.8127853230263246,0.007340335327533184,0.006283716261121199,1.1681519378826077,-0.10566190664119844,2.0
secondary_hepatic_smoking,female,clinical,15,527,infection,0.012440236993940812,0.8684656498625838,0.012766420439863828,0.005352937854221704,2.384937166755136,-0.7413482585642124,7.0
secondary_hepatic_smoking,female,clinical,15,527,external,0.012311420670338986,0.5020196068842974,0.012376579261944212,0.0045814897106495785,2.7014312032994656,-0.7795089551294633,7.0
secondary_hepatic_smoking,female,clinical,15,527,other_or_unresolved,0.03300467691114732,0.7991861784027837,0.03587829654659182,0.04163424476373693,0.8617496666552124,0.5755948217145112,26.0
secondary_hepatic_smoking,male,clinical,15,455,multistate,0.3533201315012342,,,,,,
secondary_hepatic_smoking,male,clinical,15,455,all_cause,0.13916326532415838,0.7950053046596476,0.23473405511496778,0.22781681005939197,1.0303631898531653,-0.691724505557581,148.0
secondary_hepatic_smoking,male,clinical,15,455,ihd,0.07493459589623501,0.7581405186750021,0.09013377466594813,0.07346762580829698,1.2268502442305544,-1.666614885765115,51.0
secondary_hepatic_smoking,male,clinical,15,455,heart_failure,0.0057348014096184645,0.6669661554159552,0.005769986529826515,0.0035465334467865203,1.6269370122688802,-0.22234530830399943,4.0
secondary_hepatic_smoking,male,clinical,15,455,stroke,0.00958725015978062,0.8474225821166292,0.00985869439288293,0.00904520799704517,1.0899356207290651,-0.08134863958377606,12.0
