study,panel,penalty,fold,n,multistate_brier
secondary_hepatic_smoking,clinical,1.0,0,546,0.29354714855661096
secondary_hepatic_smoking,clinical,1.0,1,363,0.267283431265394
secondary_hepatic_smoking,clinical,1.0,2,391,0.2757290841418073
secondary_hepatic_smoking,clinical,1.0,3,500,0.23652015289800393
secondary_hepatic_smoking,clinical,10.0,0,546,0.2935071749817449
secondary_hepatic_smoking,clinical,10.0,1,363,0.26786907757716194
secondary_hepatic_smoking,clinical,10.0,2,391,0.27500478616743074
secondary_hepatic_smoking,clinical,10.0,3,500,0.23471322597931107
secondary_hepatic_smoking,clinical,100.0,0,546,0.29398480101488605
secondary_hepatic_smoking,clinical,100.0,1,363,0.2690551903854854
secondary_hepatic_smoking,clinical,100.0,2,391,0.2720418470277371
secondary_hepatic_smoking,clinical,100.0,3,500,0.23483827581449737
secondary_hepatic_smoking,laboratory,1.0,0,546,0.2889666394546949
secondary_hepatic_smoking,laboratory,1.0,1,363,0.26569756664573824
secondary_hepatic_smoking,laboratory,1.0,2,391,0.2745200353846423
secondary_hepatic_smoking,laboratory,1.0,3,500,0.2428842244040417
secondary_hepatic_smoking,laboratory,10.0,0,546,0.2870843687706218
secondary_hepatic_smoking,laboratory,10.0,1,363,0.26540740846391053
secondary_hepatic_smoking,laboratory,10.0,2,391,0.27392600364364345
secondary_hepatic_smoking,laboratory,10.0,3,500,0.23807285596833958
secondary_hepatic_smoking,laboratory,100.0,0,546,0.2869191071795687
secondary_hepatic_smoking,laboratory,100.0,1,363,0.2653252866065054
secondary_hepatic_smoking,laboratory,100.0,2,391,0.2713661456499115
secondary_hepatic_smoking,laboratory,100.0,3,500,0.23818190993498506
