cause,label,ICD9,ICD10_target,development_events20,test_events15,selected
ihd,Ишемическая болезнь сердца,410-414,I20-I25,550,303,True
heart_failure,Сердечная недостаточность / кардиомиопатии,"425,428","I42,I50",45,16,True
stroke,Цереброваскулярные заболевания,430-438,I60-I69,175,93,True
hypertension,Гипертензивные болезни,401-405,I10-I15,49,18,True
atrial_fibrillation,Фибрилляция / трепетание предсердий,4273,I48,1,1,False
aortic_aneurysm,Аневризма / диссекция аорты,441,I71,16,8,True
chronic_respiratory,Хронические болезни нижних дыхательных путей,490-496,J40-J47,81,34,True
dementia,Деменция / болезнь Альцгеймера,"290,3310,3312","F01,F03,G30",18,3,True
parkinson,Болезнь Паркинсона,332,G20,7,0,False
diabetes,Сахарный диабет,250,E10-E14,39,23,True
renal,Нефрит / нефроз / почечная недостаточность,580-589,"N00-N07,N17-N19,N25-N27",26,10,True
chronic_liver,Хроническая болезнь печени / цирроз,571,"K70,K73-K74",24,7,True
lung_cancer,"Рак трахеи, бронхов и лёгкого",162,C33-C34,94,45,True
colorectal_cancer,Колоректальный рак,153-154,C18-C21,53,31,True
pancreatic_cancer,Рак поджелудочной железы,157,C25,21,17,True
breast_cancer,Рак молочной железы,174-175,C50,45,12,True
prostate_cancer,Рак простаты,185,C61,31,21,True
liver_cancer,Рак печени / внутрипечёночных желчных протоков,155,C22,8,4,False
gastric_cancer,Рак желудка,151,C16,15,9,True
hematologic_cancer,Гематологические злокачественные опухоли,200-208,C81-C96,52,14,True
