panel_or_contrast,outcome,metric,horizon,lower,upper,valid_replicates,undefined_replicates,interpretation
clinical,multistate,brier,15,0.2564416097908117,0.30092905072712967,1000,0,conditional_fixed_models
clinical,all_cause,brier,15,0.10031099340349774,0.11944230726406999,1000,0,conditional_fixed_models
clinical,all_cause,auc,15,0.8200302657355962,0.8560786178746854,1000,0,conditional_fixed_models
clinical,all_cause,mean_bias_pp,15,-0.446947632905261,2.2272401852814583,1000,0,conditional_fixed_models
clinical,ihd,brier,15,0.04208725961937577,0.06065137959570295,1000,0,conditional_fixed_models
clinical,ihd,auc,15,0.7829402042068717,0.8451015421035861,1000,0,conditional_fixed_models
clinical,ihd,mean_bias_pp,15,-1.5314175974364284,0.5684064230363524,1000,0,conditional_fixed_models
clinical,heart_failure,brier,15,0.0006159472899484442,0.0033734995616312236,1000,0,conditional_fixed_models
clinical,heart_failure,auc,15,0.5431425618877478,0.9202894163656569,1000,0,conditional_fixed_models
clinical,heart_failure,mean_bias_pp,15,0.03578160308247182,0.33237526038612764,1000,0,conditional_fixed_models
clinical,stroke,brier,15,0.007491983629947154,0.012550115474325897,1000,0,conditional_fixed_models
clinical,stroke,auc,15,0.8225403839732899,0.8983116882888916,1000,0,conditional_fixed_models
clinical,stroke,mean_bias_pp,15,-0.007570953292837774,0.6608868872405149,1000,0,conditional_fixed_models
clinical,hypertension,brier,15,0.001351764749581272,0.0047386866074623024,1000,0,conditional_fixed_models
clinical,hypertension,auc,15,0.773318430382952,0.9660185508870224,1000,0,conditional_fixed_models
clinical,hypertension,mean_bias_pp,15,-0.10880306399865478,0.2292781020183382,1000,0,conditional_fixed_models
clinical,aortic_aneurysm,brier,15,0.0002616150772832562,0.004139452882917729,1000,0,conditional_fixed_models
clinical,aortic_aneurysm,auc,15,0.793972805132911,0.9607358385699157,1000,0,conditional_fixed_models
clinical,aortic_aneurysm,mean_bias_pp,15,-0.3056194794514159,0.07458978689732824,1000,0,conditional_fixed_models
clinical,chronic_respiratory,brier,15,0.003791460107124925,0.010881541851659005,1000,0,conditional_fixed_models
clinical,chronic_respiratory,auc,15,0.8055046618258223,0.9268202995932817,1000,0,conditional_fixed_models
