study,panel,horizon,n,outcome,brier,auc,observed,predicted,observed_expected,mean_bias_pp,events
primary,clinical,10,3490,multistate,0.16907337540077302,,,,,,
primary,clinical,10,3490,all_cause,0.07419293399436733,0.8305522574763312,0.09890323163976356,0.1020577917759006,0.9690904527597084,0.3154560136137047,558.0
primary,clinical,10,3490,ihd,0.02977729193669163,0.8168996482350971,0.032528082680340444,0.030267518896143108,1.074686127791115,-0.22605637841973358,183.0
primary,clinical,10,3490,heart_failure,0.0010639292160217987,0.8213876317744105,0.001067476754253634,0.0014658261420026817,0.7282424045154471,0.03983493877490476,9.0
primary,clinical,10,3490,stroke,0.006215898034430596,0.8511744077170094,0.0063739654838923555,0.007355528831034452,0.8665543471190428,0.09815633471420968,58.0
primary,clinical,10,3490,hypertension,0.0015431623008173017,0.9321023838402686,0.0015771372148708981,0.002523387396026712,0.6250079624532622,0.0946250181155814,13.0
primary,clinical,10,3490,aortic_aneurysm,0.0016650885380006181,0.87554472123047,0.0016683316633818819,0.0004912689399632674,3.3959640589259004,-0.11770627234186146,4.0
primary,clinical,10,3490,chronic_respiratory,0.003296708684451173,0.8879888156334834,0.00336941644183488,0.003473176925786172,0.9701251948379206,0.010376048395129185,19.0
primary,clinical,10,3490,dementia,0.00015613867628073473,0.9043333929694887,0.0001538407001807432,0.0007502891569563712,0.20504188119259856,0.0596448456775628,1.0
primary,clinical,10,3490,diabetes,0.0023415411760030346,0.840825857343108,0.00235197064113659,0.0010930947754228724,2.1516621376464924,-0.12588758657137178,15.0
primary,clinical,10,3490,renal,0.0008284133456825417,0.8623336853083712,0.0008282280831167461,0.0011876275992865795,0.6973802929590652,0.03593995161698334,6.0
primary,clinical,10,3490,chronic_liver,0.0009699080885697432,0.6679871329460755,0.000968697622225128,0.0009424566452234132,1.0278431661920049,-0.0026240977001714847,4.0
primary,clinical,10,3490,lung_cancer,0.004658793226081812,0.7439210920960531,0.004706484975996831,0.004370693820512848,1.0768278834605216,-0.033579115548398264,26.0
primary,clinical,10,3490,colorectal_cancer,0.0036136725628377643,0.7858405761170352,0.0036370085036216606,0.0023951743587099996,1.518473379775363,-0.1241834144911661,21.0
primary,clinical,10,3490,pancreatic_cancer,0.0033588731184543467,0.812845101327028,0.0033786372814608857,0.0009554689853372857,3.5361035609839377,-0.24231682961235998,13.0
primary,clinical,10,3490,breast_cancer,0.0013620128511237304,0.8260634362238146,0.0013501359981792135,0.003757875297507669,0.35928174601074775,0.24077392993284555,5.0
primary,clinical,10,3490,prostate_cancer,0.0010413797789317091,0.9672167520219095,0.0010531195856945082,0.0016320329365870495,0.6452808408982357,0.05789133508925413,13.0
primary,clinical,10,3490,gastric_cancer,0.001918366102515275,0.8469291049460984,0.0019284637000658847,0.0013615036838770691,1.4164219479556006,-0.05669600161888155,8.0
primary,clinical,10,3490,hematologic_cancer,0.002395139175852792,0.6630903100315064,0.002399075985514376,0.003916985371986519,0.6124802003786071,0.15179093864721432,8.0
primary,clinical,10,3490,infection,0.00408492572660245,0.7725128022834584,0.004120447778324733,0.0017543394181921646,2.348717548951176,-0.23661083601325683,19.0
primary,clinical,10,3490,external,0.005663392849961073,0.5439679187752172,0.005683389313687279,0.005428098029033006,1.047031443295388,-0.025529128465427275,24.0
primary,clinical,10,3490,other_or_unresolved,0.018925806017095575,0.8136447039868993,0.019759321231984883,0.026935444566311355,0.7335806611002894,0.7176123334326472,109.0
primary,laboratory,10,3490,multistate,0.17002947911753227,,,,,,
primary,laboratory,10,3490,all_cause,0.07503364752181259,0.8258067673707526,0.09890323163976356,0.10212688641296935,0.9684348080468219,0.32236547732057974,558.0
primary,laboratory,10,3490,ihd,0.029888168919362735,0.8162352922765195,0.032528082680340444,0.03089719276289732,1.052784404394226,-0.1630889917443125,183.0
primary,laboratory,10,3490,heart_failure,0.0010646531522802514,0.8017159242408453,0.001067476754253634,0.0014392923268249217,0.7416677865631977,0.03718155725712877,9.0
primary,laboratory,10,3490,stroke,0.006206132645035415,0.8624007765051773,0.0063739654838923555,0.007261788339965519,0.87774046632742,0.08878228560731637,58.0
primary,laboratory,10,3490,hypertension,0.0015499842120683324,0.9626602011964043,0.0015771372148708981,0.002373787552211666,0.6643969522047051,0.07966503373407681,13.0
primary,laboratory,10,3490,aortic_aneurysm,0.0016650849220724443,0.8367695003622333,0.0016683316633818819,0.0004538104863582022,3.6762739371012074,-0.12145211770236797,4.0
primary,laboratory,10,3490,chronic_respiratory,0.003302196888561032,0.8846315893469987,0.00336941644183488,0.003276382278967552,1.0283953931336256,-0.009303416286732778,19.0
primary,laboratory,10,3490,dementia,0.0001541751838604442,0.9682266031531476,0.0001538407001807432,0.0006660332721737665,0.230980502938908,0.051219257199302336,1.0
primary,laboratory,10,3490,diabetes,0.002339737936325867,0.8806705116294867,0.00235197064113659,0.0010951728314139086,2.1475794264363817,-0.12567978097226815,15.0
primary,laboratory,10,3490,renal,0.0008261737279688655,0.8884542420073751,0.0008282280831167461,0.001156659419941347,0.7160518203005208,0.0328431336824601,6.0
primary,laboratory,10,3490,chronic_liver,0.0009688883136165905,0.5493861347913181,0.000968697622225128,0.00088244134453535,1.097747321364681,-0.008625627768977802,4.0
primary,laboratory,10,3490,lung_cancer,0.004648937083272532,0.7367289109125205,0.004706484975996831,0.004377636222243168,1.07512016464108,-0.032884875375366246,26.0
primary,laboratory,10,3490,colorectal_cancer,0.0036132243096430945,0.7473326685570801,0.0036370085036216606,0.002444070562599786,1.4880947216814118,-0.11929379410218743,21.0
primary,laboratory,10,3490,pancreatic_cancer,0.003366438279202627,0.787271635482971,0.0033786372814608857,0.0009668444361722522,3.4944993786559375,-0.24117928452886336,13.0
primary,laboratory,10,3490,breast_cancer,0.0013688563647855497,0.8506131776229146,0.0013501359981792135,0.0038199357764958273,0.35344468524487727,0.24697997783166137,5.0
primary,laboratory,10,3490,prostate_cancer,0.0010383773269279427,0.9653996528798161,0.0010531195856945082,0.001557050603458259,0.6763554012666615,0.05039310177637508,13.0
primary,laboratory,10,3490,gastric_cancer,0.0019230885832274367,0.7787578046467882,0.0019284637000658847,0.001284889445998309,1.50087908813629,-0.06435742540675757,8.0
primary,laboratory,10,3490,hematologic_cancer,0.0023952019459720438,0.7950013742763627,0.002399075985514376,0.0039865579538515975,0.6017913230626731,0.15874819683372215,8.0
primary,laboratory,10,3490,infection,0.004089240779663779,0.7809807432656631,0.004120447778324733,0.001727269121330432,2.385527378125622,-0.23931786569943012,19.0
primary,laboratory,10,3490,external,0.005681233111180153,0.5336580229390846,0.005683389313687279,0.0054955012539351115,1.0341894307853408,-0.01878880597521674,24.0
primary,laboratory,10,3490,other_or_unresolved,0.018906037910692595,0.8179483365719361,0.019759321231984883,0.026964570421595127,0.7327882819212365,0.7205249189610244,109.0
primary,clinical,15,3490,multistate,0.2789681229913481,,,,,,
primary,clinical,15,3490,all_cause,0.11006440091879932,0.837830532993178,0.18132610376070268,0.19138756176851823,0.9474288824475187,1.006145800781555,932.0
primary,clinical,15,3490,ihd,0.05176710536669325,0.8114175325306355,0.05989984802915125,0.05459884321462116,1.097090057269025,-0.5301004814530087,303.0
