study,subgroup,panel,horizon,n,outcome,brier,auc,observed,predicted,observed_expected,mean_bias_pp,events
primary,female,clinical,15,2128,multistate,0.2258342329166001,,,,,,
primary,female,clinical,15,2128,all_cause,0.09257540584482944,0.8455474420147181,0.1418239429434235,0.16089425299885854,0.8814730190793679,1.9070310055435051,416.0
primary,female,clinical,15,2128,ihd,0.03708451354675768,0.8587569922892341,0.042490711050870524,0.039144259626864984,1.0854902214502187,-0.33464514240055393,126.0
primary,female,clinical,15,2128,heart_failure,0.001515451966131901,0.8326807711281072,0.001508992787719269,0.004203975677591991,0.35894422409779736,0.2694982889872722,7.0
primary,female,clinical,15,2128,stroke,0.010430967461738844,0.8834569914714041,0.011084912509669378,0.016128048301476416,0.6873065049448437,0.5043135791807037,54.0
primary,female,clinical,15,2128,hypertension,0.0015086405217120639,0.8391796492846232,0.0014614550334457828,0.003647432164616125,0.4006805246779947,0.21859771311703424,6.0
primary,female,clinical,15,2128,aortic_aneurysm,0.0020130015896507774,0.8776104762540606,0.00201892921015176,0.000667466479995777,3.0247649442478877,-0.13514627301559834,3.0
primary,female,clinical,15,2128,chronic_respiratory,0.0034588204834818527,0.7888239983603448,0.0034968990982451264,0.0036492187104481535,0.9582596647970378,0.015231961220302714,9.0
primary,female,clinical,15,2128,dementia,7.554980842532824e-05,0.9970448288994824,6.713591461403246e-05,0.0016974199928056271,0.03955174022845402,0.16302840781915948,1.0
primary,female,clinical,15,2128,diabetes,0.005566259288854497,0.8747924532500975,0.005680891558038938,0.003451551863920422,1.6458948849710564,-0.22293396941185165,18.0
primary,female,clinical,15,2128,renal,0.0016568250011925652,0.8323950782292356,0.0016576962306818523,0.0021339534555712245,0.7768193005119289,0.04762572248893722,5.0
primary,female,clinical,15,2128,chronic_liver,0.00021484979297647884,0.08486880118479181,0.00020425426103123063,0.0018902655822158596,0.1080558536075095,0.16860113211846292,1.0
primary,female,clinical,15,2128,lung_cancer,0.008892951544852912,0.7181772835816524,0.00898789461292968,0.004679525016793883,1.9206852363592284,-0.4308369596135798,16.0
primary,female,clinical,15,2128,colorectal_cancer,0.0037975405278742884,0.8459420572915476,0.003836163103801352,0.004960957397449684,0.7732707210453847,0.11247942936483316,17.0
primary,female,clinical,15,2128,pancreatic_cancer,0.0032462298678786446,0.6834790012595058,0.0032575070940033574,0.0019195033203201677,1.6970572853502617,-0.13380037736831898,9.0
primary,female,clinical,15,2128,breast_cancer,0.0053066960739985465,0.4673364494820862,0.005256085897770294,0.010197301291062886,0.5154389134679025,0.4941215393292593,12.0
primary,female,clinical,15,2128,prostate_cancer,0.0,,0.0,0.0,,0.0,0.0
primary,female,clinical,15,2128,gastric_cancer,0.0007255700377574897,0.7880083702216284,0.0007264646155957674,0.001069592902160896,0.6791973040659607,0.034312828656512855,2.0
primary,female,clinical,15,2128,hematologic_cancer,0.0032497585892504186,0.6314484435214138,0.003254301218237513,0.00466581426964393,0.6974776598824761,0.14115130514064175,5.0
primary,female,clinical,15,2128,infection,0.006527687408327562,0.8740747953369512,0.006663404027373683,0.0054519848626065825,1.222197822498708,-0.12114191647671002,15.0
primary,female,clinical,15,2128,external,0.007208439852489416,0.5560023810052583,0.007250322975332881,0.0036777079467367464,1.971424343731845,-0.3572615028596135,19.0
primary,female,clinical,15,2128,other_or_unresolved,0.030779073708419428,0.8107375930109556,0.032919921743911076,0.04765827413657721,0.6907493471033059,1.4738352392666132,91.0
primary,male,clinical,15,1362,multistate,0.34054317306916504,,,,,,
primary,male,clinical,15,1362,all_cause,0.13038227001583952,0.8223018135144483,0.22702671551142686,0.2265767071418113,1.0019861192939568,-0.04500083696155621,516.0
primary,male,clinical,15,1362,ihd,0.06875845861680613,0.7592717723414276,0.08003198102451545,0.07243336529490023,1.1049049108608822,-0.7598615729615219,177.0
primary,male,clinical,15,1362,heart_failure,0.0025006469710474894,0.684478402245494,0.002503916988107858,0.0034684566205747955,0.7219110001995374,0.09645396324669377,9.0
primary,male,clinical,15,1362,stroke,0.009320070523206218,0.8484594194456554,0.009588143434588822,0.010916279053268415,0.878334402024842,0.1328135618679593,39.0
primary,male,clinical,15,1362,hypertension,0.004384807972550298,0.8478753047439838,0.004559781416230981,0.0038103461867570482,1.1966842887081004,-0.07494352294739326,12.0
primary,male,clinical,15,1362,aortic_aneurysm,0.0023686495605479353,0.8926477691936034,0.002381095694897391,0.0015232889843206179,1.563128020622661,-0.08578067105767732,5.0
primary,male,clinical,15,1362,chronic_respiratory,0.011593795830671457,0.8598273059687402,0.01204381521911383,0.01377616772453873,0.874250042532572,0.17323525054248995,25.0
primary,male,clinical,15,1362,dementia,0.0020434207175949143,0.9166287609817224,0.002054703284106476,0.0019841085019776336,1.0355801016216997,-0.007059478212884237,2.0
primary,male,clinical,15,1362,diabetes,0.004107994760027615,0.7963195851622142,0.004129928547500126,0.003076964576042595,1.342208675282115,-0.10529639714575308,5.0
primary,male,clinical,15,1362,renal,0.0008574102172661988,0.9191176766824847,0.0008609880650262987,0.0010737244249856693,0.8018706150209725,0.02127363599593706,5.0
primary,male,clinical,15,1362,chronic_liver,0.004342860466340316,0.5948573811823533,0.004347942515306524,0.0027226415302078785,1.5969573912194568,-0.16253009850986452,6.0
primary,male,clinical,15,1362,lung_cancer,0.008774566159483792,0.8068183291039799,0.008933281077949466,0.014361890559482157,0.6220128917534079,0.5428609481532691,29.0
primary,male,clinical,15,1362,colorectal_cancer,0.006199439971292545,0.7123491244578251,0.006251525486198899,0.0037441415023593736,1.6696819503908962,-0.2507383983839525,14.0
primary,male,clinical,15,1362,pancreatic_cancer,0.0048348081728285565,0.9400301593627161,0.004911223549162807,0.0030536822519816147,1.6082955408919135,-0.18575412971811928,8.0
primary,male,clinical,15,1362,breast_cancer,2.9518366992878036e-07,,0.0,0.0004812917889997009,0.0,0.04812917889997009,0.0
primary,male,clinical,15,1362,prostate_cancer,0.005687641060807378,0.8396824337830361,0.0057695129302136865,0.007067421552269444,0.8163533033289939,0.1297908622055757,21.0
primary,male,clinical,15,1362,gastric_cancer,0.0038953750403002904,0.8008426405071726,0.003929047966554882,0.003449532011229816,1.1390089883972725,-0.04795159553250658,7.0
primary,male,clinical,15,1362,hematologic_cancer,0.0060776281378631634,0.6988328680522016,0.0061280614283270324,0.00756309635222782,0.8102582782145732,0.14350349239007876,9.0
primary,male,clinical,15,1362,infection,0.01081183302003988,0.7233335210220002,0.011081546207152732,0.008048272617259855,1.3768850452938057,-0.3033273589892877,23.0
primary,male,clinical,15,1362,external,0.010730350610533165,0.5095292230538495,0.010819509163801824,0.010800504920212705,1.0017595699209907,-0.001900424358911891,18.0
