study,panel,penalty,fold,n,multistate_brier
primary,clinical,1.0,0,1423,0.29272112678196605
primary,clinical,1.0,1,1739,0.28550525557383627
primary,clinical,1.0,2,1082,0.23437600845846257
primary,clinical,1.0,3,1661,0.2569538333188712
primary,clinical,10.0,0,1423,0.2927196162452392
primary,clinical,10.0,1,1739,0.28559285566653214
primary,clinical,10.0,2,1082,0.23446153032095626
primary,clinical,10.0,3,1661,0.25709931415671533
primary,clinical,100.0,0,1423,0.2929076703597541
primary,clinical,100.0,1,1739,0.28545766487697855
primary,clinical,100.0,2,1082,0.23448772806113252
primary,clinical,100.0,3,1661,0.2570393330100394
primary,laboratory,1.0,0,1423,0.2919862236035291
primary,laboratory,1.0,1,1739,0.28430662399671164
primary,laboratory,1.0,2,1082,0.23114470249781252
primary,laboratory,1.0,3,1661,0.2546186097097697
primary,laboratory,10.0,0,1423,0.29213455700309027
primary,laboratory,10.0,1,1739,0.28377288179170795
primary,laboratory,10.0,2,1082,0.23153164630129838
primary,laboratory,10.0,3,1661,0.25473219333112523
primary,laboratory,100.0,0,1423,0.29218133037409044
primary,laboratory,100.0,1,1739,0.2827097134957276
primary,laboratory,100.0,2,1082,0.23195212540512192
primary,laboratory,100.0,3,1661,0.2546617442603896
