model,horizon_years,n,events,weighted_observed,weighted_predicted,observed_expected,auc,brier,calibration_intercept,calibration_slope,calibration_in_the_large_logit,diagnostic_fit_success
M0_age_sex,1,2381,33,0.00896064923404008,0.005501746642201846,1.6286917258796112,0.7921718348696485,0.008811341242414776,0.833539288974753,1.0714215958214142,0.49557237872945187,True
M0_age_sex,5,2381,188,0.05123093600923167,0.050196734390419065,1.020602966136578,0.7758118243799976,0.04591498775876186,0.08930613815421126,1.026250271819515,0.022825644247962813,True
M0_age_sex,10,2381,395,0.11520130481429029,0.12916882247567452,0.8918661841636388,0.7879474476651048,0.08962601814869499,-0.08773814085601986,1.0401545727432653,-0.1497973900999102,True
M0c_clinical_only_posthoc,1,2381,33,0.00896064923404008,0.005466444973459853,1.639209628477913,0.8252199926282157,0.00869806026283719,1.0098883649532477,1.1115541985077533,0.5066788722413308,True
M0c_clinical_only_posthoc,5,2381,188,0.05123093600923167,0.04997067925363011,1.0252199244521978,0.8134732857049614,0.04392156911812254,0.11917471753862761,1.0374775738484898,0.02907100858224516,True
M0c_clinical_only_posthoc,10,2381,395,0.11520130481429029,0.1295739055265232,0.8890779694118975,0.8353210743945519,0.08229280694786227,-0.029030417285842415,1.093636743044267,-0.1643915497443818,True
M1_routine,1,2381,33,0.00896064923404008,0.006044068584363874,1.4825525403900046,0.8609291010509212,0.008612350381790855,0.5578991249587988,1.0344260519203634,0.41325793473005973,True
M1_routine,5,2381,188,0.05123093600923167,0.0532785959341674,0.9615669315410286,0.8593247833564488,0.041238073423264875,0.05889131332972939,1.0482551835681215,-0.04940543131458605,True
M1_routine,10,2381,395,0.11520130481429029,0.13521810532645218,0.8519665656915096,0.8621482038074225,0.07758711982394728,-0.16135707460054627,1.058499534072694,-0.24250259361579793,True
M2_NTproBNP,1,2381,33,0.00896064923404008,0.005841746859898618,1.5338989259448312,0.8673548867252112,0.008616516016473485,0.6662612418358287,1.0515552448386052,0.44870355684852603,True
M2_NTproBNP,5,2381,188,0.05123093600923167,0.051967495449724226,0.9858265357197147,0.8599784023386411,0.04100026636188596,0.10703618467443353,1.0552754602039185,-0.01794874486917998,True
M2_NTproBNP,10,2381,395,0.11520130481429029,0.133215010164437,0.8647772099562124,0.8641405161404359,0.07700323049561232,-0.11990269450943317,1.0719071391698334,-0.2204982211480685,True
M3_troponin,1,2381,33,0.00896064923404008,0.006108291477422898,1.4669649061705545,0.8743279685126013,0.008562687479249455,0.6492726494025302,1.0596123744700867,0.4031222116878987,True
M3_troponin,5,2381,188,0.05123093600923167,0.05433311146379071,0.9429045130863446,0.8669572571481228,0.040252029883898255,0.07478702934265478,1.0686178446750223,-0.07510606155207343,True
M3_troponin,10,2381,395,0.11520130481429029,0.13953337647392927,0.8256182694454811,0.8692985330247491,0.07550888006477087,-0.20146651855968412,1.0717586033903987,-0.29674119376390157,True
M4_cystatinC,1,2381,33,0.00896064923404008,0.005743159292556096,1.5602299670939446,0.8665081180151744,0.008607905910249214,0.4149969234516606,0.9871002112054611,0.46944507509052663,True
M4_cystatinC,5,2381,188,0.05123093600923167,0.051269890204987775,0.9992402130061063,0.8676300135326768,0.040486667809406046,0.10745365775064643,1.047938078173267,-0.0009755444426690725,True
M4_cystatinC,10,2381,395,0.11520130481429029,0.13276914130880135,0.8676813277442921,0.871459153380635,0.07462635702642045,-0.10684016833151397,1.080410665435161,-0.21945200077024882,True
