country,year,code,deaths,rank_identified,rank_upper_at_fixed_grouping
DEU,2019,1067,119082,1,1
DEU,2019,1069,53119,2,3
DEU,2019,1057,52189,3,4
DEU,2019,1034,44881,4,5
DEU,2019,1066,43272,5,6
DEU,2019,1046,36268,6,8
DEU,2019,1076,35565,7,9
DEU,2019,1030,24596,8,11
DEU,2019,1052,23895,9,12
DEU,2019,1032,19222,10,15
DEU,2019,1036,18712,11,16
DEU,2019,1040,15040,12,18
DEU,2019,1054,9047,13,20
DEU,2019,1060,8803,14,22
DEU,2019,1029,8527,15,23
DEU,2019,1047,8273,16,24
DEU,2019,1045,8260,17,25
DEU,2019,1031,8168,18,26
DEU,2019,1043,6786,19,27
DEU,2019,1042,6013,20,28
RUS,2019,1067,442328,1,1
RUS,2019,1069,260594,2,2
RUS,2019,1034,50046,3,6
RUS,2019,1052,41153,4,8
RUS,2019,1030,39991,5,10
RUS,2019,1046,37303,6,11
RUS,2019,1076,29338,7,12
RUS,2019,1029,27267,8,13
RUS,2019,1036,21871,9,15
RUS,2019,1032,19594,10,16
RUS,2019,1066,16135,11,17
RUS,2019,1070,15215,12,18
RUS,2019,1057,14482,13,19
RUS,2019,1040,13205,14,21
RUS,2019,1079,10858,15,22
RUS,2019,1031,10430,16,23
RUS,2019,1027,9785,17,24
RUS,2019,1042,7801,18,26
RUS,2019,1045,7682,19,27
RUS,2019,1039,7520,20,28
USA,2019,1067,360900,1,1
USA,2019,1076,156979,2,3
USA,2019,1069,150005,3,4
USA,2019,1034,139682,4,5
USA,2019,1060,121499,5,6
USA,2019,1057,118796,6,7
USA,2019,1066,102060,7,9
USA,2019,1046,90034,8,10
USA,2019,1052,87647,9,11
USA,2019,1030,52986,10,15
USA,2019,1032,45886,11,18
USA,2019,1036,42748,12,19
USA,2019,1054,41208,13,20
USA,2019,1040,31638,14,21
USA,2019,1031,27959,15,22
USA,2019,1045,23167,16,24
USA,2019,1043,20270,17,25
USA,2019,1042,17233,18,26
USA,2019,1041,16796,19,27
USA,2019,1028,15962,20,28
