country,ghe_code,rank_compatible,rank_lower,rank_upper,name_ru,name_en,deaths_estimate,share_all_deaths,cdr_per_100000,asdr_per_100000,icd10,year,source_sheet,source_cell
RUS,1130,1,1,1,Ишемическая болезнь сердца,Ischaemic heart disease,497493.289717854,0.2028045377300047,341.131615630897,179.166002732592,I20-I25,2021,All ages,EO157
RUS,1140,2,2,2,Инсульт и его последствия,Stroke,303131.735046749,0.12357250372626269,207.857715194793,107.76604252237,I60-I69,2021,All ages,EO158
RUS,680,3,3,3,"Рак трахеи, бронхов и лёгкого","Trachea, bronchus, lung cancers",52959.955459445,0.021589274683977568,36.3146911586825,21.115026585947,C33-C34,2021,All ages,EO89
RUS,950,4,4,5,Болезнь Альцгеймера и другие деменции,Alzheimer disease and other dementias,50500.8584035222,0.02058681685797859,34.6284859997026,15.8584864530213,"F01-F03,G30-G31 except G31.2",2021,All ages,EO139
RUS,1230,5,5,6,"Цирроз и алкогольная болезнь печени, группа GHE",Cirrhosis of the liver,45480.1130136461,0.018540095889276985,31.1857561741583,22.1056748212644,"K70,K74",2021,All ages,EO169
RUS,650,6,6,7,Колоректальный рак,Colon and rectum cancers,41435.243371366,0.016891193411726027,28.4121852645488,15.8065919596038,C18-C21,2021,All ages,EO82
RUS,800,7,7,9,"Сахарный диабет, без почечных осложнений GHE",Diabetes mellitus,37911.460740590795,0.015454713518900372,25.995924207741,14.1620587016477,"E10-E14 except E10.2,E11.2,E12.2,E13.2,E14.2",2021,All ages,EO113
RUS,1180,8,8,10,ХОБЛ,Chronic obstructive pulmonary disease,30722.6591362348,0.01252417834116768,21.0665562013208,11.3214298986995,J40-J44,2021,All ages,EO164
RUS,640,9,9,11,Рак желудка,Stomach cancer,27438.832809918,0.011185517310238003,18.8148334076665,10.7896379366878,C16,2021,All ages,EO81
RUS,700,10,10,12,Рак молочной железы,Breast cancer,22687.990033982,0.009248822900654985,15.5571760577904,9.40244182154869,C50,2021,All ages,EO93
RUS,780,11,11,13,Другие злокачественные опухоли,Other malignant neoplasms,22127.6272048954,0.009020389418510057,15.1729347400146,9.20396520561678,"C17,C26-C31,C37-C41,C46-C49,C51-C52,C57-C60,C63,C68-C69,C74-C75,C77-C79",2021,All ages,EO111
RUS,670,12,12,14,Рак поджелудочной железы,Pancreas cancer,20452.378588378997,0.008337469611796437,14.0242151915363,8.09970190543693,C25,2021,All ages,EO88
RUS,1120,13,13,18,"Гипертензивная болезнь сердца, группа GHE",Hypertensive heart disease,14495.443591558302,0.005909108318716362,9.93953927394522,5.24392173518555,I11-I15,2021,All ages,EO156
RUS,740,14,14,19,Рак предстательной железы,Prostate cancer,14491.279916262,0.005907410984780053,9.93668423788715,5.32343589573159,C61,2021,All ages,EO97
RUS,1248,15,15,21,Панкреатит,Pancreatitis,12322.3859694026,0.005023255271790061,8.44947162313243,5.77473232976508,K85-K86,2021,All ages,EO179
RUS,660,16,16,22,Рак печени,Liver cancer,11178.990723216,0.0045571469862349554,7.6654444298058,4.48641056826676,C22,2021,All ages,EO83
RUS,1220,17,17,23,Язвенная болезнь,Peptic ulcer disease,10994.9007622186,0.004482102196260027,7.5392137707911,4.33947458779039,K25-K27,2021,All ages,EO168
RUS,620,18,18,24,Рак полости рта и ротоглотки,Mouth and oropharynx cancers,10897.024951798001,0.004442202847067686,7.47210023573438,4.76161811739196,C00-C14,2021,All ages,EO76
RUS,960,19,19,25,Болезнь Паркинсона,Parkinson disease,10209.7945105747,0.004162051426281042,7.00086567725783,3.48865211239109,G20-G21,2021,All ages,EO140
RUS,760,20,20,26,Лимфомы и множественная миелома,"Lymphomas, multiple myeloma",9980.33884425068,0.004068513179031989,6.84352771152734,4.21978795798337,"C81-C90,C96",2021,All ages,EO106
DEU,1130,1,1,1,Ишемическая болезнь сердца,Ischaemic heart disease,171637.358762935,0.16527952769288373,205.06970943662,60.2629039745808,I20-I25,2021,All ages,BS157
DEU,950,2,2,2,Болезнь Альцгеймера и другие деменции,Alzheimer disease and other dementias,65067.4357742203,0.06265719264419586,77.7415840244609,18.3514625458306,"F01-F03,G30-G31 except G31.2",2021,All ages,BS139
DEU,1140,3,3,4,Инсульт и его последствия,Stroke,59310.7843555845,0.057113780449891224,70.8636243409979,20.9347346250974,I60-I69,2021,All ages,BS158
DEU,680,4,4,5,"Рак трахеи, бронхов и лёгкого","Trachea, bronchus, lung cancers",47600.228280450996,0.045837009523857435,56.8720298013396,24.0496219238041,C33-C34,2021,All ages,BS89
DEU,1180,5,5,6,ХОБЛ,Chronic obstructive pulmonary disease,42666.9612928775,0.041086481762502014,50.9778373306183,16.8269835917738,J40-J44,2021,All ages,BS164
DEU,1120,6,6,7,"Гипертензивная болезнь сердца, группа GHE",Hypertensive heart disease,40597.2863714142,0.039093472222138874,48.5050211684974,11.5946688585013,I11-I15,2021,All ages,BS156
DEU,650,7,7,8,Колоректальный рак,Colon and rectum cancers,27092.878398181,0.02608929767835071,32.3701596258567,12.0659832455684,C18-C21,2021,All ages,BS82
DEU,700,8,8,10,Рак молочной железы,Breast cancer,21353.874859577998,0.020562879647191112,25.5132853614224,10.1952542245816,C50,2021,All ages,BS93
DEU,800,9,9,11,"Сахарный диабет, без почечных осложнений GHE",Diabetes mellitus,20891.838348199697,0.020117958000016683,24.9612511549981,7.97098678150007,"E10-E14 except E10.2,E11.2,E12.2,E13.2,E14.2",2021,All ages,BS113
DEU,670,10,10,12,Рак поджелудочной железы,Pancreas cancer,20354.959320083002,0.019600966170062562,24.3197962462765,9.31114543313652,C25,2021,All ages,BS88
DEU,740,11,11,13,Рак предстательной железы,Prostate cancer,17539.803934531003,0.016890090426811548,20.956291347955,6.42652253050597,C61,2021,All ages,BS97
DEU,1230,12,12,14,"Цирроз и алкогольная болезнь печени, группа GHE",Cirrhosis of the liver,16534.7367075256,0.01592225313441596,19.7554522900029,10.3829714836722,"K70,K74",2021,All ages,BS169
DEU,760,13,13,16,Лимфомы и множественная миелома,"Lymphomas, multiple myeloma",13398.4002611214,0.01290209359406998,16.0082051382454,5.7113500893906,"C81-C90,C96",2021,All ages,BS106
DEU,814,14,14,17,"Другие эндокринные, кроветворные и иммунные болезни","Other endocrine, blood and immune disorders",13060.2970099804,0.012576514442405241,15.6042445088651,5.75812087357687,D60-D64 except D64.9;D65-D89;E03-E07;E15-E34;E65-E88,2021,All ages,BS118
DEU,780,15,15,18,Другие злокачественные опухоли,Other malignant neoplasms,13008.7989650468,0.012526924000061694,15.5427154269262,6.27663665120429,"C17,C26-C31,C37-C41,C46-C49,C51-C52,C57-C60,C63,C68-C69,C74-C75,C77-C79",2021,All ages,BS111
DEU,960,16,16,19,Болезнь Паркинсона,Parkinson disease,12738.6987085442,0.012266828860249294,15.2200037427162,4.10088904176903,G20-G21,2021,All ages,BS140
DEU,640,17,17,22,Рак желудка,Stomach cancer,9570.356960707,0.009215849566309806,11.4345171429003,4.60416035663424,C16,2021,All ages,BS81
DEU,770,18,18,23,Лейкозы,Leukaemia,9423.104971860059,0.009074052119973688,11.2585827030765,4.22081716652816,C91-C95,2021,All ages,BS110
DEU,660,19,19,24,Рак печени,Liver cancer,8680.290960451,0.008358753598403464,10.3710798040398,4.15698820847681,C22,2021,All ages,BS83
DEU,790,20,20,25,Прочие новообразования,Other neoplasms,8556.521630294848,0.008239568960638629,10.2232020881671,3.16016628674876,D00-D48,2021,All ages,BS112
USA,1130,1,1,1,Ишемическая болезнь сердца,Ischaemic heart disease,497775.55738336797,0.14440225906148668,146.33508934461,73.7608791038619,I20-I25,2021,All ages,GB157
USA,950,2,2,2,Болезнь Альцгеймера и другие деменции,Alzheimer disease and other dementias,279879.430343168,0.081191656373897,82.2784100936541,33.7884669111102,"F01-F03,G30-G31 except G31.2",2021,All ages,GB139
USA,1140,3,3,3,Инсульт и его последствия,Stroke,172146.26218466298,0.04993879024339353,50.6072230415527,24.478397781219,I60-I69,2021,All ages,GB158
USA,1180,4,4,4,ХОБЛ,Chronic obstructive pulmonary disease,168056.84621409,0.048752470634819293,49.4050244953509,24.2417847276172,J40-J44,2021,All ages,GB164
USA,680,5,5,5,"Рак трахеи, бронхов и лёгкого","Trachea, bronchus, lung cancers",137069.503643128,0.039763193834888175,40.2954258491051,21.4541544238856,C33-C34,2021,All ages,GB89
USA,1120,6,6,9,"Гипертензивная болезнь сердца, группа GHE",Hypertensive heart disease,98676.0634377127,0.028625444267698755,29.0085970376627,14.9242443971772,I11-I15,2021,All ages,GB156
USA,650,7,7,10,Колоректальный рак,Colon and rectum cancers,62533.311983825,0.018140608519486904,18.383421324,10.3502854764778,C18-C21,2021,All ages,GB82
USA,800,8,8,11,"Сахарный диабет, без почечных осложнений GHE",Diabetes mellitus,61054.809441731006,0.017711702150060463,17.9487740248621,10.578812439896,"E10-E14 except E10.2,E11.2,E12.2,E13.2,E14.2",2021,All ages,GB113
USA,1230,9,9,12,"Цирроз и алкогольная болезнь печени, группа GHE",Cirrhosis of the liver,58525.405895433,0.016977934529802917,17.2051848942873,12.1104563495282,"K70,K74",2021,All ages,GB169
USA,814,10,10,13,"Другие эндокринные, кроветворные и иммунные болезни","Other endocrine, blood and immune disorders",57689.4599551455,0.01673543069360546,16.9594351340896,9.79154247807944,D60-D64 except D64.9;D65-D89;E03-E07;E15-E34;E65-E88,2021,All ages,GB118
USA,700,11,11,15,Рак молочной железы,Breast cancer,48875.719962869,0.014178607750438943,14.3683890087841,8.2235039451345,C50,2021,All ages,GB93
USA,670,12,12,16,Рак поджелудочной железы,Pancreas cancer,48806.377709669,0.01415849190131383,14.3480039081763,7.7191550566801,C25,2021,All ages,GB88
USA,760,13,13,17,Лимфомы и множественная миелома,"Lymphomas, multiple myeloma",39481.0524474036,0.011453260568877842,11.6065629410977,6.021370008312,"C81-C90,C96",2021,All ages,GB106
USA,960,14,14,18,Болезнь Паркинсона,Parkinson disease,38768.61029543079,0.011246584578726185,11.3971205841651,5.13177628362665,G20-G21,2021,All ages,GB140
USA,740,15,15,20,Рак предстательной железы,Prostate cancer,37258.270894291,0.010808442491917794,10.9531139471814,5.21920479741872,C61,2021,All ages,GB97
USA,660,16,16,23,Рак печени,Liver cancer,29336.653768245,0.00851042003690959,8.62433236540324,4.77867947282289,C22,2021,All ages,GB83
USA,770,17,17,24,Лейкозы,Leukaemia,26879.038948147103,0.007797477975650832,7.90184754480631,4.29112832889246,C91-C95,2021,All ages,GB110
USA,780,18,18,26,Другие злокачественные опухоли,Other malignant neoplasms,21722.2366842981,0.006301514814366718,6.38586085397799,3.82373492602966,"C17,C26-C31,C37-C41,C46-C49,C51-C52,C57-C60,C63,C68-C69,C74-C75,C77-C79",2021,All ages,GB111
USA,751,19,19,27,Опухоли мозга и нервной системы,Brain and nervous system cancers,20688.912506085297,0.006001752514945769,6.08208622362936,3.86569032664216,C70-C72,2021,All ages,GB101
USA,750,20,20,29,Рак мочевого пузыря,Bladder cancer,19324.292111877,0.005605882800649431,5.68091777663358,2.74552615874026,C67,2021,All ages,GB100
